restaurantid,restaurantName,phonenumber,address,distance,restauranttype
626642,CHINA WOK,(992) 474-8009,"5820 HILLEN RD Baltimore, MD",1.4,Fast Casual
402795,CHINATOWN CAF,(838) 768-0159,"323 PARK AVE Baltimore, MD",2.32,Cafe or Bistro
924702,CHINESE DELIGHT,(582) 826-6243,"4032 FALLS RD Baltimore, MD",3.19,Family Style
834599,CHIPOTLE,(563) 763-9378,"621 PRATT ST Baltimore, MD",1.97,Fast Food
886768,CHIPOTLE MEXICAN GRILL,(964) 597-9428,"3201 ST PAUL ST Baltimore, MD",1.18,Cafe or Bistro
218787,CHIU'S SUSHI JAPANESE RESTAURANT,(823) 688-3264,"608 EXETER ST Baltimore, MD",1.49,Fast Food
138337,CHIYO SUSHI,(200) 259-0455,"1619 SULGRAVE AVE Baltimore, MD",3.16,Family Style
578747,CHOCOLATEA,(947) 979-0113,"3811 CANTERBURY RD Baltimore, MD",0.14,Cafe or Bistro
101004,CHOPPER'S TAVERN,(250) 853-2382,"1531 PENNSYLVANIA AVE Baltimore, MD",0.72,Fast Casual
898395,CHOW MEIN CHARLIES chinese food,(710) 534-7758,"508 COLD SPRING LN Baltimore, MD",2.29,Family Style
247871,CHRIS LIQUOR & GRILL,(683) 688-2693,"1273 washington blvd Baltimore, MD",2.5,Fine Dining
270798,CHUBBIES CLUB,(493) 362-9073,"2000 EASTERN AVE Baltimore, MD",3.7,Family Style
310918,CHUCK'S,(505) 836-3909,"3137 EASTERN AVE Baltimore, MD",0.24,Fast Food
196166,CHUNG MEE RESTAURANT,(896) 976-2563,"5646 THE Baltimore, MD",0.59,Fast Food
281157,CIAO BELLA RESTAURANT,(340) 847-9907,"236 HIGH ST Baltimore, MD",2.48,Fast Food
329799,CINCO DE MAYO,(460) 809-1953,"1312 EASTERN AVE Baltimore, MD",0.18,Fast Casual
177893,CINGHIALE,(440) 690-1346,"822 LANCASTER ST Baltimore, MD",0.52,Cafe or Bistro
603325,CIRCUS BAR & RESTAURANT,(424) 552-6834,"427 BALTIMORE ST Baltimore, MD",2.63,Fast Food
886721,CITY LIMITS SPORTS BAR,(623) 352-2802,"1700 FORT AVE Baltimore, MD",1.23,Fast Food
902588,claddagh pub,(695) 734-1435,"2918 O DONNELL ST Baltimore, MD",3.37,Fast Food
266340,CLASSIC CAFE EXPRESS,(550) 638-5098,"1515 CHARLES ST Baltimore, MD",1.83,Fast Food
839486,CLAYTON FINE BOOKS & CAF,(884) 465-5426,"317 CHARLES ST Baltimore, MD",2.28,Fine Dining
627406,CLIFTON PARK GOLF COURSE SNACK BAR,(414) 322-8189,"2701 ST LO DR Baltimore, MD",0.77,Fast Casual
166554,CLIPPER MILL INN,(846) 419-4901,"1619 UNION AVE Baltimore, MD",2.46,Fast Food
373497,CLUB 1722,(542) 677-7479,"1722 CHARLES ST Baltimore, MD",1.78,Fine Dining
570290,CLUB BAR,(271) 403-5689,"1609 LAURENS ST Baltimore, MD",0.3,Fast Casual
537430,CLUB BUNNS (606-08),(685) 669-7475,"606 LEXINGTON ST Baltimore, MD",3.17,Fast Casual
440203,club charles zodiac (1724-1726 n. charles st),(550) 341-7251,"1724 CHARLES ST Baltimore, MD",1.03,Fast Food
602736,CLUB CHOICES,(826) 301-6545,"1817 CHARLES ST Baltimore, MD",3.08,Fast Food
378326,CLUB CLIMAX,(586) 602-2406,"2432 BALTIMORE ST Baltimore, MD",0.41,Fast Food
392414,CLUB CONFETTI,(593) 709-7451,"1609 BANK ST Baltimore, MD",1.4,Cafe or Bistro
704357,CLUB HAREM,(475) 331-3773,"425 BALTIMORE ST Baltimore, MD",2.32,Fast Food
867147,CLUB HOUSE BAR & GRILL,(300) 414-5505,"4217 ERDMAN AVE Baltimore, MD",4.06,Cafe or Bistro
106437,CLUB HUSH,(772) 695-3061,"1930 LOMBARD ST Baltimore, MD",1.04,Fast Food
218659,CLUB INTERNATIONAL,(461) 500-9846,"2301 BALTIMORE ST Baltimore, MD",3.38,Family Style
132565,CLUB LUZERENE,(785) 405-6148,"542 LUZERNE AVE Baltimore, MD",0.91,Family Style
269918,CLUB MATE,(886) 696-8771,"3610 HANOVER ST Baltimore, MD",1.56,Fast Food
392717,CLUB MIAMI,(277) 455-0721,"414 BALTIMORE ST Baltimore, MD",1.31,Cafe or Bistro
984498,CLUB MITCHELL,(967) 373-2149,"1003 PRATT ST Baltimore, MD",2.71,Cafe or Bistro
447895,CLUB OKAPI,(337) 725-9029,"2219 PRATT ST Baltimore, MD",1.37,Fast Food
906822,CLUB ONE,(469) 816-9495,"300 SARATOGA ST Baltimore, MD",2.05,Fast Food
268408,CLUB PHOENIX,(603) 978-8985,"1 BIDDLE ST Baltimore, MD",3.1,Fast Casual
804034,CLUB PUSSYCAT,(345) 532-6389,"411 BALTIMORE ST Baltimore, MD",3.54,Cafe or Bistro
826276,CLUB RIO & TOUCH OF CLASS,(461) 484-7194,"1315 Bloomingdale Dr Baltimore, MD",2.2,Fast Food
848971,CLUBHOUSE BAR,(608) 284-2487,"1812 PRATT ST Baltimore, MD",2.56,Fast Food
485785,CLUBHOUSE BAR & GRILL,(956) 759-7911,"4217 ERDMAN AVE Baltimore, MD",2.69,Fast Food
254640,COACH HOUSE INN,(458) 674-1523,"6605 BELAIR RD Baltimore, MD",0.68,Fast Food
207898,COCKY LOU'S,(364) 428-3178,"2101 NORTH AVE Baltimore, MD",2.34,Fine Dining
164316,COCO MOKA CAF,(294) 495-3265,"921 FORT AVE Baltimore, MD",3.06,Fast Casual
685108,COCONUT CAF,(293) 485-1247,"311 MADISON ST Baltimore, MD",3.75,Fast Food
340085,COFFEE LAND,(551) 764-1465,"222 CHARLES ST Baltimore, MD",2.21,Fine Dining
485858,COLD STONE CREAMERY #1479,(799) 391-3961,"2500 BOSTON ST Baltimore, MD",1.37,Fast Casual
372526,COLD STONE CREAMERY# 102,(560) 372-6887,"2500 BOSTON ST Baltimore, MD",3.31,Fast Casual
432965,COLLINS CORNER,(646) 597-5305,"2231 CEDLEY ST Baltimore, MD",1.05,Fast Food
485002,COLONIAL INN,(221) 360-9659,"2001 EASTERN AVE Baltimore, MD",0.35,Fast Food
187996,COMMON GROUND,(403) 546-3757,"819 36TH ST Baltimore, MD",3.56,Fast Food
169154,COOKIE'S CITY LINE DINER,(940) 967-4161,"6407 FORT SMALLWOOD RD Baltimore, MD",3.31,Cafe or Bistro
890432,COOPER'S LIQUOR (568-570),(456) 917-2228,"568 OLD TOWN MALL Baltimore, MD",0.55,Fast Food
189832,COPRA,(348) 866-8960,"313 CHARLES ST Baltimore, MD",2.22,Cafe or Bistro
387492,CORKS,(513) 925-2582,"1026 CHARLES ST Baltimore, MD",1.27,Fast Food
389033,CORKY'S GRILL,(919) 509-1671,"225 23RD ST Baltimore, MD",0.69,Family Style
693750,CORRADO'S CAF,(572) 322-4900,"203 REDWOOD ST Baltimore, MD",1.26,Family Style
872620,"COSI, INC. # 157",(895) 820-7085,"100 CHARLES ST Baltimore, MD",0.75,Fast Food
490617,COSMOPOLITAN BAR & GRILL,(330) 425-2519,"2933 O DONNELL ST Baltimore, MD",2.27,Cafe or Bistro
807149,COSMOS RESTAURANT-CARRYOUT (5427-29),(246) 859-2861,"5427 HARFORD RD Baltimore, MD",1.21,Cafe or Bistro
831381,COTTON CLUB,(683) 728-2703,"2000 HARLEM AVE Baltimore, MD",1.74,Fast Food
573549,courthouse east caf‚',(469) 792-3308,"111 calvert st Baltimore, MD",2.99,Fast Food
512586,COURTYARD BY MARRIOTT & COURTYARD CAFE & LOUNGE,(941) 930-7579,"1000 ALICEANNA ST Baltimore, MD",1.87,Family Style
579935,crazy johns,(341) 920-3058,"410 BALTIMORE ST Baltimore, MD",0.2,Fine Dining
571875,CRAZY LIL'S,(332) 503-9266,"27 CROSS ST Baltimore, MD",3.87,Fast Food
991976,CREATIVE ALLIANCE,(635) 262-9023,"3134 EASTERN AVE Baltimore, MD",2.04,Fast Food
708540,CREPE DU JOUR,(302) 644-5149,"1609 SULGRAVE AVE Baltimore, MD",0.12,Family Style
662152,CROSSROADS SPORTS PUB & GRILL,(271) 982-0166,"3328 FOSTER AVE Baltimore, MD",0.73,Fast Food
805069,CURB SHOPPE,(792) 768-6091,"5736 FALLS RD Baltimore, MD",0.22,Family Style
158944,CURLEY ST. CAF,(530) 652-8008,"701 CURLEY ST Baltimore, MD",1.84,Fast Casual
446961,CURTIS BAY ATHLETIC CLUB,(841) 932-3197,"1603 CEDDOX ST Baltimore, MD",1.46,Cafe or Bistro
454360,D J'S GASLIGHT,(329) 650-1064,"4900 CURTIS AVE Baltimore, MD",3.83,Family Style
699984,DAILY GRIND COFFEE HOUSE,(330) 280-2232,"720 RUTLAND AVE Baltimore, MD",2.58,Fast Food
597207,DAILY GRIND,(875) 788-6252,"1030 LINWOOD AVE Baltimore, MD",3.21,Cafe or Bistro
259220,DAILY GRIND,(967) 957-8061,"610 WASHINGTON ST Baltimore, MD",1.75,Fast Food
847916,dalesio's of little italy llc,(982) 419-8239,"829 EASTERN AVE Baltimore, MD",3.48,Family Style
221263,DANCING PIGS,(548) 953-1943,"1140 PACA ST Baltimore, MD",3.86,Cafe or Bistro
161782,DANNY'S LOUNGE,(991) 240-1376,"4316 REISTERSTOWN RD Baltimore, MD",2.12,Fast Casual
115302,DARBY'S,(761) 979-3709,"2351 WASHINGTON BLVD Baltimore, MD",2.92,Family Style
181063,DARKER THAN BLUE,(342) 221-1445,"3034 GREENMOUNT AVE Baltimore, MD",2.51,Fine Dining
343855,DASH SEAFOOD & CHICKEN,(752) 233-4700,"5124 PARK HEIGHTS AVE Baltimore, MD",3.2,Family Style
798807,DAVEY JONES LOCKER,(806) 481-5964,"800 DEAN ST Baltimore, MD",3.55,Fast Food
383862,DAVID & DAD'S LLC,(681) 787-9899,"334 CHARLES ST Baltimore, MD",1.72,Fast Food
486971,DAVID'S RESTAURANT & DELI,(528) 397-2278,"3626-A FALLS RD Baltimore, MD",2.31,Fast Food
541867,DAYS INNS MANAGEMENT CO,(689) 979-9714,"100 HOPKINS PLZ Baltimore, MD",1.22,Fast Casual
295019,DEAD END SALOON,(868) 464-4795,"935 FELL ST Baltimore, MD",2.35,Cafe or Bistro
767366,DEAD FREDDIES,(554) 816-2710,"7209 HARFORD RD Baltimore, MD",1.62,Fast Food
859966,DECADES SPORTS BAR,(922) 314-1864,"4221 CURTIS AVE Baltimore, MD",2.13,Fast Food
304672,DECKERS BAR & GRILLE,(857) 617-0712,"1401 DECATUR ST Baltimore, MD",2.02,Fast Food
246981,DEEP SIDE RESTAURANT & CAF,(771) 751-0618,"123 CLINTON ST Baltimore, MD",2.53,Fast Food
113174,DEGO DAME'S,(804) 814-3441,"1018 EASTERN AVE Baltimore, MD",3.49,Fine Dining
757882,DELLA ROSE'S 2 CANTON CROSSING,(281) 621-9603,"1501 CLINTON ST Baltimore, MD",0.34,Fast Casual
165969,DESERT CAFE'(1605-07),(837) 654-7407,"1607 SULGRAVE AVE Baltimore, MD",1.42,Fast Food
396136,DESERT INN,(767) 966-6175,"1901 HARLEM AVE Baltimore, MD",2.34,Fine Dining
596828,DIAMOND LOUNGE (415 1/2 E. BALTIMORE STREET),(876) 392-7732,"415 BALTIMORE ST Baltimore, MD",1.36,Fast Casual
319840,DIANNE'S RESTAURANT LOUNGE,(721) 922-0463,"709 711 N CHESTER ST Baltimore, MD",2.46,Fast Casual
148583,DILONE GROCERY & RESTAURANT,(720) 318-0824,"157 LAKEWOOD AVE Baltimore, MD",1.66,Fast Food
314371,"DIMIS CAF AND GRILL, INC.",(280) 632-6674,"500 COLDSPRING LN Baltimore, MD",2.24,Fast Food
556485,DIMITRI'S TAVERN,(384) 888-9296,"3820 FALLS RD Baltimore, MD",3.81,Fast Food
140199,DING HOW RESTAURANT,(241) 265-2279,"631 BROADWAY Baltimore, MD",0.68,Cafe or Bistro
676295,DIONYSUS RESTAURANT & LOUNGE,(901) 469-2040,"8 PRESTON ST Baltimore, MD",3.09,Fast Food
584011,DIZZY IZZY,(730) 263-1757,"300 30TH ST Baltimore, MD",2.51,Cafe or Bistro
963999,DOMINICANO INTERNACIONAL,(868) 632-4770,"601 CONKLING ST Baltimore, MD",0.12,Fast Food
898843,DOMINO SUGAR CAFATERIA OPERATION # 65227,(629) 606-6540,"1100 KEY HWY Baltimore, MD",1.08,Family Style
445753,DONNA'S,(664) 990-5300,"110 PACA ST Baltimore, MD",2.97,Family Style
248181,DONNA'S,(410) 351-3804,"6607 PINE AVE Baltimore, MD",3.01,Fast Food
849013,DONNA'S,(217) 202-9764,"800 CHARLES ST Baltimore, MD",2.69,Cafe or Bistro
921497,"DONNA'S CHARLES VILLAGE, LLC",(233) 627-3436,"3101 ST PAUL ST Baltimore, MD",3.08,Cafe or Bistro
422375,DONNA'S CROSS KEYS,(844) 573-5544,"5100 FALLS RD Baltimore, MD",0.91,Fast Food
878012,DONRITZ BAR & GRILL,(392) 310-6124,"1508 SARATOGA ST Baltimore, MD",2.9,Fast Food
819138,DOUGHERTY'S,(886) 475-5586,"223 CHASE ST Baltimore, MD",3.05,Family Style
683796,DOWN THE HATCH,(799) 988-3854,"1157 HAUBERT ST Baltimore, MD",0.55,Fine Dining
235155,DOWNTOWN SPORTS EXCHANGE,(367) 900-4705,"200 PRATT ST Baltimore, MD",4.25,Fast Food
213615,"DREAM TAVERN, CARRIBEAN U.S.A.",(611) 912-6333,"2300 LAFAYETTE AVE Baltimore, MD",2.99,Fast Food
752170,DREAMS INN,(725) 753-5725,"527 PATAPSCO AVE Baltimore, MD",3.29,Family Style
115937,DRIFTERS RAW BAR & GRILL,(459) 441-4432,"1024 CHARLES ST Baltimore, MD",4.01,Fast Food
986872,DUCK'S BLACK SATIN LOUNGE,(342) 670-5351,"4559 REISTERSTOWN RD Baltimore, MD",3.82,Family Style
946875,DUCKY PLEASURE CLUB,(886) 938-7166,"900 CLINTON ST Baltimore, MD",0.9,Fast Casual
371545,DUCLAW BREWING COMPANY,(223) 387-0004,"901 BOND ST Baltimore, MD",4.06,Cafe or Bistro
571088,DUDA'S TAVERN,(948) 652-1283,"1600 THAMES ST Baltimore, MD",3.12,Family Style
304378,DUKEM ETHIOPIAN RESTAURANT,(302) 513-9627,"1100 MARYLAND AVE Baltimore, MD",2.83,Fast Food
707298,DUNKIN DONUTS,(529) 411-1607,"1020 41ST ST Baltimore, MD",3.18,Cafe or Bistro
554562,Dunkin Donuts,(454) 430-4962,"4022 pulaski hwy Baltimore, MD",4,Fast Food
393652,DUNKIN DONUTS,(706) 996-0123,"4535 FALLS RD Baltimore, MD",1.01,Family Style
257384,DUNKIN DONUTS,(878) 391-1454,"5422 YORK RD Baltimore, MD",3.31,Cafe or Bistro
481066,DUNKIN DONUTS,(438) 830-8753,"7000 REISTERSTOWN RD Baltimore, MD",3.21,Fast Casual
563563,DUNKIN DONUTS & BASKIN ROBBINS,(516) 231-1269,"5401 HARFORD RD Baltimore, MD",0.14,Family Style
689721,DUNKIN DONUTS/BASKIN ROBBINS,(235) 209-2535,"3600 BOSTON ST Baltimore, MD",3.07,Fine Dining
277071,DUTCH POT CAF,(969) 494-8272,"102 CLAY ST Baltimore, MD",2.76,Family Style
708716,DYNASTY,(603) 808-7554,"406 BALTIMORE ST Baltimore, MD",2.89,Fast Food
765506,E C CAF & CATERING,(667) 709-5105,"5501 HOPKINS BAYVIEW CIR Baltimore, MD",3.42,Fast Food
550405,EAGLE NEST,(547) 432-5438,"4800 CURTIS AVE Baltimore, MD",1.85,Family Style
365291,EAST BALTIMORE ENTERPRISE,(432) 983-0245,"239 GAY ST Baltimore, MD",2.02,Cafe or Bistro
149114,EASTERN HOUSE RESTAURANT,(555) 307-0862,"3706 EASTERN AVE Baltimore, MD",3.19,Fast Food
853289,EASTSIDE SPORTS SOCIAL CLUB,(597) 776-8371,"1203 COLLINGTON AVE Baltimore, MD",1.97,Fine Dining
155330,EAT MUST BE FIRST,(734) 700-1256,"600 lexington st Baltimore, MD",1.18,Fast Casual
444529,ECLECTIC CAF,(421) 615-0913,"723 BROADWAY Baltimore, MD",1.49,Cafe or Bistro
543269,edelweiss bakery & caf‚',(489) 389-7183,"6000 harford rd Baltimore, MD",3.16,Family Style
878080,EDENS LOUNGE,(555) 703-8282,"15 EAGER ST Baltimore, MD",0.14,Fast Food
755952,"EDGAR'S INC.--BALTIMORE, MD",(666) 363-9800,"1 PRATT ST Baltimore, MD",0.72,Family Style
684285,EDIE'S DELI & GRILL,(478) 757-5187,"250 PRATT ST Baltimore, MD",1.51,Fast Food
756156,EDISON LOUNGE,(787) 833-7955,"3133 MONUMENT ST Baltimore, MD",0.81,Family Style
517273,EDO SUSHI,(384) 282-4028,"201 PRATT ST Baltimore, MD",0.51,Fast Casual
473609,EICHENKRANZ RESTAURANT,(536) 789-7790,"611 FAGLEY ST Baltimore, MD",1.05,Cafe or Bistro
163643,EL OSASIS RESTAURANT & DISCOTEC,(249) 961-7570,"3919 EASTERN AVE Baltimore, MD",2.81,Family Style
745601,EL RANCHO BLANCO,(227) 595-3971,"100 FAGLEY ST Baltimore, MD",2.72,Fast Casual
536254,EL RANCHO GRANDE,(309) 257-9033,"3608 FALLS RD Baltimore, MD",0.23,Fast Food
396071,"EL RECODO, INC.",(517) 491-5936,"219 BROADWAY Baltimore, MD",1.43,Fast Food
358001,EL RINCONCITO PERUANO,(514) 318-2527,"1801 LOMBARD ST Baltimore, MD",1.88,Cafe or Bistro
211311,EL TORITO MEXICAN RESTAURANT,(323) 796-5213,"110 MULBERRY ST Baltimore, MD",1.63,Family Style
944648,EL TROPICAL RESTAURANT (3736-38),(337) 864-2119,"3736 LOMBARD ST Baltimore, MD",0.27,Cafe or Bistro
685239,ELDORADO INC.,(567) 397-5412,"4100 LOMBARD ST Baltimore, MD",1.5,Fast Casual
847815,ELKS me.B.P.O.E.OF W.,(218) 693-8062,"1127 GREENMOUNT AVE Baltimore, MD",1.23,Fast Food
316368,ELLIOT'S POUR HOUSE,(667) 676-8013,"3728 HUDSON ST Baltimore, MD",1.76,Fast Food
191693,EL-MOLINO,(206) 512-8559,"3230 FAIRMOUNT ST Baltimore, MD",4.21,Fine Dining
664603,ELVIS RESTAURANT,(468) 862-4418,"1022 LIGHT ST Baltimore, MD",2.27,Fast Food
304809,ENRICO'S SPORTS CAFE,(458) 471-3515,"200 HAVEN ST Baltimore, MD",3.9,Fast Casual
716777,ESPN ZONE,(950) 361-2717,"601 PRATT ST Baltimore, MD",1.03,Family Style
811432,europe restaurant & catering,(298) 302-0233,"4147 labyrinth rd Baltimore, MD",3.8,Fast Food
819599,EVERYDAY'S LLC,(901) 456-9299,"1600 ABBOTTSON ST Baltimore, MD",2.04,Family Style
645422,EXCLUSIVE,(470) 837-8289,"1 CHASE ST Baltimore, MD",4.16,Family Style
377161,family diner,(584) 762-7364,"3117 VERA ST Baltimore, MD",3.14,Cafe or Bistro
297665,FAMOUS RESTAURANT,(595) 648-6270,"2101 MARYLAND AVE Baltimore, MD",4.06,Fast Food
933027,FANTASIES,(559) 942-9155,"5520 PENNINGTON AVE Baltimore, MD",1.04,Family Style
285705,FANTASY CAF,(629) 694-6349,"6640 HOLABIRD AVE Baltimore, MD",3.38,Fast Food
849575,FEDERAL HILL LOUNGE,(430) 835-2372,"23 CROSS ST Baltimore, MD",0.91,Fast Casual
811759,FELL'S POINT CARRYOUT,(458) 613-5719,"1635 FLEET ST Baltimore, MD",1.56,Family Style
684637,FIELDER'S TAVERN,(593) 624-8533,"1184 NANTICOKE ST Baltimore, MD",1.31,Fine Dining
985188,FIELDS OLD TRAIL,(701) 435-6354,"5723 YORK RD Baltimore, MD",2.71,Cafe or Bistro
850726,FIELDS RIB HOUSE,(248) 862-6208,"3308 GARRISON BLVD Baltimore, MD",1.37,Fast Food
282775,FILLIN' STATION,(398) 227-8254,"2501 WASHINGTON BLVD Baltimore, MD",2.05,Fine Dining
723155,FIRESIDE NORTH LIQUORS,(700) 532-7955,"2201 NORTH AVE Baltimore, MD",3.1,Fast Food
525982,FISHERMANS WHARF INNER HARBOR,(895) 246-4352,"219 PRESIDENT ST Baltimore, MD",3.54,Cafe or Bistro
636819,FIVE GUYS @ BREWERS HILL,(659) 215-2442,"3600 BOSTON ST Baltimore, MD",2.2,Cafe or Bistro
186166,FIVE GUYS FAMOUS BURGERS & FRIES,(685) 885-5756,"111 CENTRE ST Baltimore, MD",2.56,Fast Casual
432219,FIVE GUYS FAMOUS BURGERS & FRIES,(962) 820-2688,"201 PRATT ST Baltimore, MD",2.69,Fast Food
470548,FIVE POINT TAVERN,(949) 664-0065,"1800 THAMES ST Baltimore, MD",0.68,Fast Food
895001,FIVE SEASONS,(804) 532-0846,"830 GUILFORD AVE Baltimore, MD",2.34,Fast Casual
981893,FLAMERS BURGER & CHICKEN,(288) 230-3734,"601 CAROLINE ST Baltimore, MD",3.06,Fast Food
116816,FLAMINGO LOUNGE,(631) 397-2895,"403 BALTIMORE ST Baltimore, MD",3.75,Fine Dining
979977,Fleming's Prime Steakhouse and Wine Bar,(942) 724-4115,"720 Aliceanna st Baltimore, MD",2.21,Fine Dining
500382,FLETCHERS,(305) 668-6134,"701 BOND ST Baltimore, MD",1.37,Fast Casual
725198,FLIP'S AT CLIPPER MILL,(273) 659-3249,"1601 UNION AVE Baltimore, MD",3.31,Fast Casual
519280,FOGO DE CHAO,(665) 654-8991,"600 PRATT ST Baltimore, MD",1.05,Family Style
812997,FOODTOPIA,(545) 949-8585,"17 BALTIMORE ST Baltimore, MD",0.35,Fast Food
511048,FORT CHARLES PUB,(679) 640-5575,"1439 CHARLES ST Baltimore, MD",3.56,Family Style
103704,FOUL BALL BAR,(333) 546-3308,"839 CROSS ST Baltimore, MD",3.31,Fast Food
499423,FOUR G'S LIQUOR & LOUNGE,(701) 757-3474,"4701 3 LIBERTY HEIGHTS AVE Baltimore, MD",2.58,Fine Dining
667083,FOXY LADY,(496) 788-5147,"16 CUSTOM HOUSE AVE Baltimore, MD",1.45,Fast Food
823922,FRANKLINTOWN INN,(739) 802-7113,"5200 FRANKLINTOWN RD Baltimore, MD",1.54,Fine Dining
212511,FRANK'S PIZZA,(976) 384-6899,"6620 BELAIR RD Baltimore, MD",1.33,Fast Casual
629777,fraternal order of police baltimore city lodge #3,(938) 817-8122,"3920 buena vista ave Baltimore, MD",1.95,Fast Food
507780,FRAZIER'S ON THE AVENUE,(540) 840-3883,"919 36TH ST Baltimore, MD",1.89,Fine Dining
705597,FRED & MARGIE'S INN,(598) 861-7492,"3605 FAIRHAVEN AVE Baltimore, MD",3.95,Fast Casual
512613,FREDERICK STATION SALOON,(248) 695-7868,"4019 FREDERICK AVE Baltimore, MD",0.55,Fine Dining
380909,FRIENDLY FRIED CHICKEN,(909) 832-6725,"3221 GREENMOUNT AVE Baltimore, MD",2.22,Fast Food
151066,FRIEND'S RESTAURANT AND SPIRITS,(708) 933-8338,"1634 ALICEANNA ST Baltimore, MD",1.27,Fast Food
333195,FULL MOON SALOON,(823) 730-0762,"1710 ALICEANNA ST Baltimore, MD",0.69,Fast Casual
800008,FULTON RESTAURANT,(423) 244-1855,"2733 PENNSLYVANIA AVE Baltimore, MD",1.26,Cafe or Bistro
739717,FULTON RESTAURANT (2201 1/2 FULTON AVENUE),(812) 831-4395,"2201 FULTON Ave Baltimore, MD",0.75,Fast Food
270916,G & A RESTAURANT,(396) 270-4454,"3802 EASTERN AVE Baltimore, MD",2.27,Fine Dining
185048,GAFFNEY'S BACK FIN ( seasonal),(942) 956-0682,"415 HIGHLAND AVE Baltimore, MD",1.21,Fast Food
798907,GALLAGHERS BAR & GRILL (938-940),(309) 360-7062,"938 CONKLING ST Baltimore, MD",1.74,Fast Food
392684,GALLERY,(638) 593-0973,"1735 MARYLAND AVE Baltimore, MD",2.99,Fine Dining
376375,GALLERY CAF,(654) 834-5164,"13 CENTRE ST Baltimore, MD",1.87,Fast Food
354833,GARDEN BEEF & BEER,(497) 976-2721,"4809 ERDMAN AVE Baltimore, MD",0.2,Fine Dining
867998,GARDEN RESTAURANT,(581) 536-6777,"1501 LIGHT ST Baltimore, MD",3.87,Fast Casual
275345,GECKOS,(300) 211-9871,"2318 FLEET ST Baltimore, MD",2.04,Fast Food
380694,GENJI SUSHI EXPRESS (A.K.A. 600 S EXETER ST),(993) 708-8539,"1001 FLEET ST Baltimore, MD",0.12,Fast Casual
601106,"GEN-JOSEPH HALLER POST #95, AMERICAN LEGION, INC.",(809) 928-6738,"1746 FLEET ST Baltimore, MD",0.73,Fast Casual
676970,GENTLEMEN OF CHARISMA,(505) 428-4392,"838 CHESTER ST Baltimore, MD",0.22,Fast Food
145821,GEORGE'S CAFETERIA,(287) 436-8801,"2700 BROENING HWY Baltimore, MD",1.84,Cafe or Bistro
713712,GEORGIO'S,(610) 381-8913,"6322 REISTERSTOWN RD Baltimore, MD",1.46,Fast Food
937789,GERMANIO'S RESTAURANT,(962) 679-5602,"300 HIGH ST Baltimore, MD",3.83,Fast Food
821838,GIBSON'S,(298) 530-8918,"32 CHESTER ST Baltimore, MD",2.58,Fast Food
806632,GILMOR PLEASURE CLUB,(807) 756-1497,"347 GILMOR ST Baltimore, MD",3.21,Cafe or Bistro
255491,GINGER'S,(524) 513-2329,"421 CONKLING ST Baltimore, MD",1.75,Fast Casual
301462,"GLADIATORS ASSOCIATIONS, INC",(819) 663-9052,"1315 MULBERRY ST Baltimore, MD",2.79,Fast Food
282830,GLASS DOOR lounge,(865) 667-4843,"1263 FAYETTE ST Baltimore, MD",4.06,Fast Food
654285,GOLDEN KEY RESTAURANT,(953) 818-7232,"5512 HARFORD RD Baltimore, MD",3.32,Fast Casual
733721,GOLDEN NUGGET,(945) 865-5856,"411 BALTIMORE ST Baltimore, MD",3.24,Fast Food
354992,GOLDEN NUGGET LOUNGE,(532) 515-7023,"411 1 2 E BALTIMORE ST Baltimore, MD",0.86,Cafe or Bistro
674320,"GOLDEN WEST CAF, INC.",(919) 939-2608,"1105 36TH ST Baltimore, MD",3.29,Family Style
515633,GOOD TIMES BAR AND LOUNGE,(543) 665-9511,"1600 BALTIMORE ST Baltimore, MD",0.34,Fine Dining
438081,GORDON'S,(538) 321-9779,"1818 MARYLAND AVE Baltimore, MD",0.9,Fine Dining
880794,GOSSIP BISTRO,(547) 507-4563,"21 CALVERT ST Baltimore, MD",1.35,Cafe or Bistro
572158,GRAND CRU,(401) 598-1713,"527 BELVEDERE AVE Baltimore, MD",1.82,Fast Food
457982,GRANDVIEW RESTAURANT,(555) 405-9659,"3838 ROLAND AVE Baltimore, MD",2.39,Cafe or Bistro
933844,GRANITE,(519) 911-0491,"2903 O DONNELL ST Baltimore, MD",3.37,Fine Dining
217196,GRANT'S 2 SPOT,(677) 582-9420,"2 WHEELER AVE Baltimore, MD",3.64,Fast Food
563970,GREAT TASTE CHINESE RESTAURANT,(880) 939-6082,"3444 WILKENS AVE Baltimore, MD",0.48,Fast Food
862760,GREENE ST CAF,(644) 995-3167,"300 GREENE ST Baltimore, MD",0.62,Fast Casual
942596,GREENHOUSE CAF,(835) 976-2765,"725 WOLFE ST Baltimore, MD",1.69,Fast Food
238808,GREENMOUNT LOUNGE,(704) 433-6135,"1318 GREENMOUNT AVE Baltimore, MD",4.25,Family Style
991781,GRENADIER CLUB,(927) 411-0561,"1226 MC CULLOH ST Baltimore, MD",1.68,Fast Food
554166,GRIFFITH'S,(353) 436-7603,"3631 HICKORY ave Baltimore, MD",2.88,Family Style
970108,GRILL ART,(501) 838-2007,"1011 36TH ST Baltimore, MD",1.65,Cafe or Bistro
203054,GRILLE 601,(750) 486-5818,"601 CAROLINE ST Baltimore, MD",2.95,Fast Food
